"business_name","business_name_arabic","registration_category_name","license_type_name","license_issuing_authority_name","license_number","fax","phone","website","address_line1","address_line2","street","area","city_name","country_name","emirate_name","p_o_box"
"DHL WORLDWIDE EXPRESS","","Dubai based companies","Commercial","","","","","","AL TOWAR","TERMINAL 2","","","Dubai","United Arab Emirates","Not Available","6252"
"S.T.COURIER L.L.C","","Dubai based companies","Commercial","","","","","","DEIRA","DUBAI","","","Dubai","United Arab Emirates","DUBAI","46446"
"Nice Al Marri Express Services","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"Gulf Worldwide express","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"SKYEXPRESS INTERNATIONAL LLC","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"ROAD RUNNERS TRANSIT L.L.C","","Dubai based companies","Commercial","","516147","971-4-3389072","971-4-3389071","","AL QUOZ INDUSTRIAL AREA","DUBAI","","","Dubai","United Arab Emirates","DUBAI","30258"
"Meridian Express Logistics LLC","","Dubai based companies","Commercial","","","","","","Habtoor WH Complex, Al Qsais, Deira","Dubai","","","Dubai","United Arab Emirates","Not Available","33946"
"LBC EXPRESS INC (DUBAI BR)","","Dubai based companies","Commercial","","","","","","BUR DUBAI","DUBAI","","","Dubai","United Arab Emirates","Not Available","118742"
"Mohammed Al Katheeri Cargo (Dubai Branch)","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"DTDC COURIER AND CARGO LIMITED LLC","","Dubai based companies","Commercial","","","","","","DUBAI","UAE","","","Dubai","United Arab Emirates","Not Available","118519"
"pantos express llc","","Dubai based companies","Commercial","","","","","","near iranian school","al karama","","","Dubai","United Arab Emirates","Not Available","121473"
"EMSTAR LOGISTICS L.L.C","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"Parzel Express & Logistics LLC","","Dubai based companies","Commercial","","","","","www.parzel.com","Warehouse 5","Al Qusias Industrial Area 4","","","Dubai","United Arab Emirates","DUBAI","3781"
"TNT(UAE)LLC","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"Airlink International UAE","","Dubai based companies","Commercial","","","","","","P.O.BOX 10466","Dubai","","","Dubai","United Arab Emirates","DUBAI","10466"
"EMIRATES EXPRESS","","Dubai based companies","Commercial","","","","","","DUBAI","DUBAI","","","Dubai","United Arab Emirates","DUBAI","5692"
"FEDEX EXPRESS INTERNATIONAL BV (DUBAI BRANCH)","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"MEXX GLOBAL LOGISTICS L.L.C","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"EMPOST CARGO AND LOGISTICS","","Dubai based companies","Commercial","","","","","","D4","AIRPORT","","","Dubai","United Arab Emirates","Not Available","32200"
"DPD UAE LLC","","Dubai based companies","Commercial","","","","","","BASE_MENT W/H NO: 32","ALQUOZ 3","","","Dubai","United Arab Emirates","Not Available","290"
"UNITED EXPRESS CUSTOMS BROKER L.L.C","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"METRO COURIER SERVICES LLC","","Emirates based companies","Commercial","","","","","","Shop no 4","New Ind Area","","","Ajman","United Arab Emirates","AJMAN","5950355"
"NAQEL L.L.C","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"NTL EXPRESS L.L.C","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"TFM SHIPPING LLC","","Dubai based companies","Commercial","","","","","www.tfmex.com","dubai","dubai","","","Dubai","United Arab Emirates","DUBAI","123"
"RSA NATIONAL DOCUMENTS DELIVERY L.L.C","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"Emirates Skycargo Ecommerce","Emirates Skycargo Ecommerce","Dubai based companies","Commercial","","","","","","Emirates Group Headquarters","Airport Road","","Garhoud","Dubai","United Arab Emirates","DUBAI","686"
"RAAD EXPRESS DELIVERY SERVICES (BR OF SHAIKH ABDULLA BIN ZAYED SAQR ALNAHYAN INVESTENT LLC)","","Dubai based companies","Commercial","","796498","971-4-2225261","971-4-2225060","","DEIRA, AL KHUBAISIE BLDG, BLDG # 52A RIGGA ROAD","FLAT 101-106","","","Dubai","United Arab Emirates","DUBAI","60315"
"A P S MIDDLE EAST LOGISTICS LLC","","Dubai based companies","Commercial","","","","","","DUBAI","DUBAI","","","Dubai","United Arab Emirates","DUBAI","116653"
"BRIDGEWAY SHIPPING & CLEARING SERVICES (LLC)","","Dubai based companies","Commercial","","","","","","AL GARHOUD","DUBAI","","","Dubai","United Arab Emirates","DUBAI","50066"
"SHIPA DELIVERY SERVICES L L C","شيبا لخدمات التوصيل ش ذ م م","Dubai based companies","Commercial","","","","","","","","","","","","",""
"IMMEDIATE COURIER EXPRESS LLC","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"F T E COURIER SERVICES L.L.C","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"SAFE WAY EXPRESS CARGO L.L.C","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"CENTURY EXPRESS COURIER SERVICES L.L.C","","Dubai based companies","Commercial","","","","","http://WWW.CENTURYEXPRESS.ME","","","","","","","",""
"C S E EXPRESS CARGO L.L.C","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"THE PROFESSIONAL COURIERS L.L.C","","Dubai based companies","Commercial","","","","","","","","","","","","",""
